City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,17.22,82,75,7.6,PT,1675442071
1,aswan,24.0934,32.907,20.61,24,0,2.57,EG,1675442072
2,yellowknife,62.456,-114.3525,-27.71,76,75,2.06,CA,1675442074
3,faanui,-16.4833,-151.75,27.41,76,11,6.95,PF,1675442074
4,rikitea,-23.1203,-134.9692,25.57,71,66,4.76,PF,1675442075
5,hasaki,35.7333,140.8333,4.01,57,98,6.35,JP,1675442075
6,qaanaaq,77.484,-69.3632,-18.62,62,93,3.43,GL,1675442076
7,broome,42.2506,-75.833,-12.68,70,100,6.71,US,1675442077
8,meadow lake,34.8014,-106.5436,8.57,38,2,1.2,US,1675442077
9,butaritari,3.0707,172.7902,27.38,77,30,8.56,KI,1675442078
10,castro,-24.7911,-50.0119,19.45,94,100,3.3,BR,1675442078
11,provideniya,64.3833,-173.3,-20.8,89,54,5.04,RU,1675442079
12,mataura,-46.1927,168.8643,15.48,99,80,1.69,NZ,1675442079
13,aksarka,66.5606,67.7975,-11.11,95,99,2.42,RU,1675442080
14,micheweni,-4.9667,39.8333,27.29,80,60,5.52,TZ,1675442080
15,nara,34.6851,135.8049,2.4,65,2,0.71,JP,1675442081
16,kapaa,22.0752,-159.319,23.18,93,100,5.66,US,1675442081
17,jamestown,42.097,-79.2353,-13.23,94,100,4.47,US,1675442082
18,hilo,19.7297,-155.09,23.49,84,20,3.09,US,1675441853
19,feni,23.0186,91.41,17.63,46,12,2.16,BD,1675442082
20,samarai,-10.6167,150.6667,27.29,80,100,1.27,PG,1675442083
21,bonthe,7.5264,-12.505,29.04,69,14,6.16,SL,1675442083
22,avarua,-21.2078,-159.775,26.03,89,40,3.6,CK,1675442084
23,salalah,17.0151,54.0924,24.05,64,0,1.54,OM,1675441819
24,cape town,-33.9258,18.4232,24.5,61,0,9.26,ZA,1675441852
25,nishihara,26.1842,127.7558,16.6,68,100,4.12,JP,1675442085
26,kahului,20.8947,-156.47,22.13,92,20,2.57,US,1675442085
27,east london,-33.0153,27.9116,24.52,73,20,3.6,ZA,1675442086
28,port augusta,-32.5,137.7667,14.88,60,43,2.17,AU,1675442087
29,dikson,73.5069,80.5464,-15.67,95,100,0.69,RU,1675441991
30,ushuaia,-54.8,-68.3,17.81,55,75,6.69,AR,1675442079
31,geraldton,-28.7667,114.6,29.23,42,28,3.6,AU,1675442087
32,hobart,-42.8794,147.3294,14.92,72,100,6.69,AU,1675441833
33,anta,25.15,76.3,17.71,33,2,0.3,IN,1675442088
34,deniliquin,-35.5333,144.9667,10.33,70,2,3.35,AU,1675442089
35,arraial do cabo,-22.9661,-42.0278,34.98,62,20,5.14,BR,1675442089
36,mehtar lam,34.6714,70.2094,11.65,62,86,2.07,AF,1675442090
37,pahalgam,34.0333,75.3333,-0.01,91,100,1.21,IN,1675442090
38,bambous virieux,-20.3428,57.7575,26.79,89,40,3.09,MU,1675442091
39,mahebourg,-20.4081,57.7,26.81,89,40,3.09,MU,1675442091
40,laguna,38.421,-121.4238,10.65,86,100,5.14,US,1675442092
41,pelaya,8.6882,-73.6645,35.36,27,40,2.03,CO,1675442092
42,ugoofaaru,5.6667,73.0,26.94,71,100,4.14,MV,1675442093
43,port lincoln,-34.7333,135.8667,15.46,67,48,5.42,AU,1675442093
44,khatanga,71.9667,102.5,-36.23,100,59,1.69,RU,1675442094
45,punta arenas,-53.15,-70.9167,20.06,49,20,16.98,CL,1675442094
46,poum,-20.2333,164.0167,27.51,80,92,4.26,NC,1675442095
47,grand gaube,-20.0064,57.6608,26.88,80,9,2.68,MU,1675442097
48,albany,42.6001,-73.9662,-11.64,49,61,1.79,US,1675442020
49,taltal,-25.4,-70.4833,22.38,72,25,2.1,CL,1675442099
50,tasiilaq,65.6145,-37.6368,-2.91,82,100,10.93,GL,1675442100
51,coihaique,-45.5752,-72.0662,24.97,44,20,3.09,CL,1675442100
52,vuktyl,63.8567,57.3094,-10.87,95,97,2.87,RU,1675442101
53,pokhara,28.2333,83.9833,13.53,40,0,2.31,NP,1675442101
54,merauke,-8.4667,140.3333,26.18,87,99,5.06,ID,1675442102
55,esperance,-33.8667,121.9,16.07,79,71,5.03,AU,1675442103
56,luau,-10.7073,22.2247,20.03,91,82,3.02,AO,1675442104
57,bouna,9.2667,-3.0,37.22,14,25,3.82,CI,1675442104
58,porto seguro,-16.4497,-39.0647,29.29,65,40,6.17,BR,1675442105
59,port alfred,-33.5906,26.891,22.88,90,87,0.45,ZA,1675442106
60,hermanus,-34.4187,19.2345,24.89,59,0,8.42,ZA,1675442106
61,busselton,-33.65,115.3333,21.4,53,48,7.51,AU,1675442107
62,guia de isora,28.2115,-16.7795,16.8,61,62,1.16,ES,1675442107
63,mecca,21.4267,39.8261,22.14,30,1,4.22,SA,1675442072
64,bereda,43.2686,-7.5406,13.41,79,0,0.76,ES,1675442108
65,yeppoon,-23.1333,150.7333,26.88,74,98,2.17,AU,1675442109
66,bengkulu,-3.8004,102.2655,24.61,88,88,2.75,ID,1675442109
67,kodiak,57.79,-152.4072,0.73,86,75,2.57,US,1675442110
68,codrington,-38.2667,141.9667,14.69,83,95,8.17,AU,1675442111
69,chulym,55.0997,80.9572,-20.52,100,75,1.77,RU,1675442111
70,port elizabeth,-33.918,25.5701,23.51,79,100,4.92,ZA,1675442112
71,belaya gora,68.5333,146.4167,-34.64,100,95,0.67,RU,1675442113
72,bell ville,-32.6259,-62.6887,27.67,42,4,5.81,AR,1675442113
73,monroe,43.1501,-77.6831,-14.19,77,100,6.17,US,1675442114
74,barrow,71.2906,-156.7887,-25.99,76,0,9.26,US,1675442115
75,jibuti,11.5,42.5,22.46,73,81,5.59,DJ,1675442115
76,krasnoselkup,65.7,82.4667,-15.0,97,100,2.62,RU,1675442116
77,atuona,-9.8,-139.0333,25.81,79,16,8.67,PF,1675442116
78,sur,22.5667,59.5289,21.29,61,0,2.1,OM,1675442117
79,alta floresta,-9.8756,-56.0861,28.16,75,63,2.35,BR,1675442118
80,bluff,-46.6,168.3333,15.86,97,87,1.86,NZ,1675442119
81,camacha,33.0833,-16.3333,15.68,51,20,4.63,PT,1675442120
82,nikolskoye,59.7035,30.7861,-4.01,96,100,2.47,RU,1675442120
83,cherskiy,68.75,161.3,-28.51,100,100,0.9,RU,1675442121
84,perth,-31.9333,115.8333,29.1,27,0,9.77,AU,1675441893
85,yantal,56.8471,105.2542,-13.16,96,100,2.1,RU,1675442122
86,coahuayana,18.7333,-103.6833,31.43,25,46,1.9,MX,1675442123
87,rocha,-34.4833,-54.3333,19.4,93,86,5.78,UY,1675442123
88,tiksi,71.6872,128.8694,-37.17,99,77,0.83,RU,1675442124
